Name,Position,Team,Bye,Tier,PTS,VALUE,ECR
Michael Pittman Jr.,WR,PIT,9,6,107,1,WR38
Mac Jones,QB,SF,8,15,10,-234,QB37
Jordan Mason,RB,MIN,6,7,105,-2,RB34
Chris Godwin Jr.,WR,TB,10,6,106,0,WR34
Anthony Richardson Sr.,QB,IND,13,15,8,-237,QB40
Blake Corum,RB,LAR,11,7,105,-2,RB32
KC Concepcion,WR,CLE,11,6,106,0,WR48
Aaron Jones Sr.,RB,MIN,6,7,102,-5,RB42
Quentin Johnston,WR,LAC,7,6,105,-1,WR37
Mike Washington Jr.,RB,LV,13,7,93,-14,RB49
Makai Lemon,WR,PHI,10,6,104,-2,WR45
Kaelon Black,RB,SF,8,8,85,-22,RB65
Michael Wilson,WR,ARI,14,6,104,-2,WR40
Brock Bowers,TE,LV,13,1,165,60,TE1
Tyjae Spears,RB,TEN,9,8,85,-22,RB46
Jayden Reed,WR,GB,11,6,104,-2,WR46
Trey McBride,TE,ARI,14,1,165,60,TE2
Woody Marks,RB,HOU,8,8,83,-24,RB44
Jakobi Meyers,WR,JAC,7,6,103,-3,WR49
Colston Loveland,TE,CHI,10,2,142,38,TE3
Zach Charbonnet,RB,SEA,11,8,82,-25,RB48
Jordan Addison,WR,MIN,6,6,102,-4,WR44
Tyler Warren,TE,IND,13,2,131,27,TE4
Isiah Pacheco,RB,DET,6,8,79,-28,RB55
Wan'Dale Robinson,WR,TEN,9,7,101,-5,WR43
Harold Fannin Jr.,TE,CLE,11,3,126,22,TE6
Chris Rodriguez Jr.,RB,JAC,7,8,79,-29,RB41
Denzel Boston,WR,CLE,11,7,101,-5,WR58
Tucker Kraft,TE,GB,11,3,125,20,TE5
Jonah Coleman,RB,DEN,10,8,75,-32,RB47
Xavier Worthy,WR,KC,5,7,99,-7,WR52
Kyle Pitts Sr.,TE,ATL,11,3,124,20,TE8
Tyler Allgeier,RB,ARI,14,8,73,-34,RB43
Stefon Diggs,WR,WAS,7,7,98,-8,WR39
Sam LaPorta,TE,DET,6,3,124,20,TE7
Alvin Kamara,RB,NO,8,8,72,-35,RB59
Matthew Golden,WR,GB,11,7,97,-9,WR51
George Kittle,TE,SF,8,3,124,19,TE9
Emmett Johnson,RB,KC,5,8,70,-37,RB57
Romeo Doubs,WR,NE,11,7,96,-10,WR53
Travis Kelce,TE,KC,5,3,121,16,TE10
Dylan Sampson,RB,CLE,11,8,67,-40,RB52
Deebo Samuel Sr.,WR,SF,8,7,96,-10,WR54
Dallas Goedert,TE,PHI,10,3,119,14,TE13
Braelon Allen,RB,NYJ,13,8,67,-40,RB53
Josh Downs,WR,IND,13,7,95,-11,WR42
Isaiah Likely,TE,NYG,8,4,113,8,TE12
Keaton Mitchell,RB,LAC,7,8,63,-44,RB45
Rashid Shaheed,WR,SEA,11,7,94,-12,WR57
Dalton Kincaid,TE,BUF,7,4,112,8,TE11
Justice Hill,RB,BAL,13,9,63,-44,RB73
Jalen Coker,WR,CAR,5,7,93,-14,WR50
Mark Andrews,TE,BAL,13,4,111,6,TE15
Tank Bigsby,RB,PHI,10,9,62,-45,RB51
Khalil Shakir,WR,BUF,7,7,92,-14,WR56
Jake Ferguson,TE,DAL,14,4,105,0,TE16
Brian Robinson Jr.,RB,ATL,11,9,62,-45,RB54
Ja'Kobi Lane,WR,BAL,13,7,90,-16,WR76
Juwan Johnson,TE,NO,8,4,104,-1,TE14
Tyrone Tracy Jr.,RB,NYG,8,9,61,-46,RB56
Jordyn Tyson,WR,NO,8,7,88,-18,WR55
Brenton Strange,TE,JAC,7,5,100,-5,TE17
Kaytron Allen,RB,WAS,7,9,59,-48,RB64
Calvin Ridley,WR,TEN,9,7,85,-21,WR75
Hunter Henry,TE,NE,11,5,100,-5,TE18
Nicholas Singleton,RB,TEN,9,9,59,-49,RB61
Tre Tucker,WR,LV,13,7,85,-21,WR59
Dalton Schultz,TE,HOU,8,5,91,-14,TE19
Samaje Perine,RB,CIN,6,9,58,-49,RB74
Jerry Jeudy,WR,CLE,11,7,85,-21,WR65
T.J. Hockenson,TE,MIN,6,6,83,-22,TE23
Demond Claiborne,RB,MIN,6,9,54,-53,RB71
Omar Cooper Jr.,WR,NYJ,13,8,82,-24,WR73
Terrance Ferguson,TE,LAR,11,6,80,-24,TE21
Seth McGowan,RB,IND,13,9,54,-53,RB77
Caleb Douglas,WR,MIA,6,8,82,-25,WR77
Greg Dulcich,TE,MIA,6,6,80,-25,TE24
Najee Harris,RB,NYG,8,9,52,-55,RB67
Jalen McMillan,WR,TB,10,8,81,-25,WR61
Chig Okonkwo,TE,WAS,7,6,79,-26,TE20
MarShawn Lloyd,RB,GB,11,9,50,-57,RB50
Keenan Allen,WR,IND,13,8,80,-26,WR70
Pat Freiermuth,TE,PIT,9,6,79,-26,TE28
Jordan James,RB,SF,8,9,45,-62,RB78
Jauan Jennings,WR,MIN,6,8,79,-27,WR68
AJ Barner,TE,SEA,11,6,79,-26,TE22
Kimani Vidal,RB,LAC,7,9,45,-62,RB60
Rashod Bateman,WR,BAL,13,8,79,-27,WR79
Kenyon Sadiq,TE,NYJ,13,6,78,-27,TE26
Jaydon Blue,RB,DAL,14,9,43,-64,RB62
Jalen Nailor,WR,LV,13,8,77,-30,WR69
Cade Otton,TE,TB,10,6,76,-28,TE29
James Conner,RB,ARI,14,9,42,-65,RB68
Kayshon Boutte,WR,HOU,8,8,76,-30,WR62
Darren Waller,TE,CAR,5,7,70,-35,TE33
Malik Davis,RB,DAL,14,10,41,-66,RB75
Adonai Mitchell,WR,NYJ,13,8,72,-34,WR60
Gunnar Helm,TE,TEN,9,7,69,-35,TE27
Chris Brooks,RB,GB,11,10,40,-67,RB76
Tank Dell,WR,HOU,8,8,69,-37,WR80
Oronde Gadsden II,TE,LAC,7,7,68,-37,TE25
Jaylen Wright,RB,MIA,6,10,39,-68,RB69
Travis Hunter,WR,JAC,7,8,69,-38,WR71
Evan Engram,TE,DEN,10,7,68,-37,TE32
Emanuel Wilson,RB,SEA,11,10,38,-70,RB70
Malik Washington,WR,MIA,6,8,67,-40,WR72
David Njoku,TE,LAC,7,7,67,-38,TE30
George Holani,RB,SEA,11,10,35,-72,RB66
Dontayvion Wicks,WR,PHI,10,8,66,-40,WR63
Mike Gesicki,TE,CIN,6,7,62,-42,TE35
Ray Davis,RB,BUF,7,10,33,-74,RB58
Jaylin Noel,WR,HOU,8,8,65,-42,WR74
Colby Parkinson,TE,LAR,11,7,61,-44,TE31
Sean Tucker,RB,TB,10,10,32,-75,RB63
Tre' Harris,WR,LAC,7,9,60,-46,WR64
Mason Taylor,TE,NYJ,13,7,59,-46,TE34
Ollie Gordon II,RB,MIA,6,10,28,-79,RB72
Ryan Flournoy,WR,DAL,14,9,59,-47,WR67
Theo Johnson,TE,NYG,8,8,51,-54,TE36
Isaiah Davis,RB,NYJ,13,10,28,-79,RB79
Isaac TeSlaa,WR,DET,6,9,56,-50,WR78
Jake Tonges,TE,SF,8,9,33,-72,TE37
LeQuint Allen Jr.,RB,JAC,7,10,27,-80,RB80
Pat Bryant,WR,DEN,10,9,52,-54,WR66
