"Player","Team","REC","YDS","TDS","FL","FPTS"
"Joe Royer","CLE","8.8","82.0","0.7","0.0","21.0"
"Max Klare","LAR","8.0","82.6","0.7","0.0","20.3"
"Brevyn Spann-Ford","DAL","7.4","71.4","0.7","0.0","18.5"
"Tanner Koziol","JAC","7.0","73.8","0.6","0.0","18.1"
"Oscar Delp","NO","7.8","74.1","0.5","0.1","18.0"
"Payne Durham","TB","7.2","70.6","0.6","0.1","18.0"
"Sam Roush","CHI","6.8","72.4","0.6","0.0","17.9"
"Devin Culp","TB","5.5","59.0","1.0","0.0","17.4"
"Josh Whyle","GB","6.8","59.5","0.7","0.0","16.7"
"Hunter Long","JAC","5.0","45.0","1.0","0.0","15.5"
"Chris Manhertz","NYG","5.4","50.6","0.6","0.0","13.8"
"Lucas Krull","DEN","6.0","44.5","0.5","0.0","13.5"
"Justin Joly","DEN","4.0","37.9","0.3","0.0","9.5"
"Luke Farrell","SF","4.0","38.3","0.3","0.0","9.3"
"CJ Dippre","NE","3.9","37.4","0.3","0.0","9.2"
"Ko Kieft","TB","3.7","36.1","0.3","0.0","9.0"
"Tyler Conklin","DET","3.7","37.9","0.3","0.0","8.9"
"Drew Ogletree","IND","3.6","36.3","0.3","0.0","8.8"
"Eric Saubert","SEA","3.4","34.4","0.3","0.0","8.6"
"Josh Cuevas","BAL","3.3","35.8","0.3","0.0","8.6"
"Tip Reiman","ARI","3.8","34.4","0.2","0.0","8.4"
"Ian Thomas","LV","3.8","36.0","0.2","0.0","8.3"
"Johnny Mundt","PHI","3.5","35.4","0.2","0.0","8.2"
"Blake Whiteheart","CLE","3.6","31.7","0.2","0.0","7.7"
"Quintin Morris","JAC","0.0","0.0","0.0","0.0","0.0"
"Jack Stoll","CLE","0.0","0.0","0.0","0.0","0.0"
"Cole Turner","MIA","0.0","0.0","0.0","0.0","0.0"
"Jelani Woods","NYJ","0.0","0.0","0.0","0.0","0.0"
"Julian Hill","NE","0.0","0.0","0.0","0.0","0.0"
""
""
