"Player","Team","POS","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Tyler Warren","IND","TE4","0.0","0.0","0.0","79.0","878.5","5.5","0.3","199.2"
"Marvin Harrison Jr.","ARI","WR29","0.0","0.0","0.0","67.3","961.3","6.0","0.3","198.9"
"Courtland Sutton","DEN","WR30","0.0","0.0","0.0","67.4","884.3","7.2","0.2","198.6"
"David Montgomery","HOU","RB24","231.5","959.7","7.7","30.8","228.2","0.5","1.5","195.9"
"Christian Watson","GB","WR31","1.7","8.0","0.0","57.9","930.0","7.3","0.3","195.5"
"DK Metcalf","PIT","WR32","0.7","3.3","0.3","64.3","927.1","6.1","0.2","195.2"
"Jaylen Warren","PIT","RB25","188.0","827.5","4.8","42.4","322.1","1.5","0.9","193.3"
"Rhamondre Stevenson","NE","RB26","168.6","723.1","6.9","39.5","334.7","1.7","2.1","192.8"
"Harold Fannin Jr.","CLE","TE5","0.0","0.0","0.0","79.9","818.7","5.4","0.8","192.6"
"Alec Pierce","IND","WR33","0.0","0.0","0.0","56.5","977.2","6.4","0.3","192.2"
"TreVeyon Henderson","NE","RB27","185.7","852.2","6.9","35.2","244.2","1.2","0.8","191.5"
"Michael Pittman Jr.","PIT","WR34","0.0","0.0","0.0","80.5","806.1","5.0","0.3","190.3"
"Jadarian Price","SEA","RB28","215.5","913.2","8.0","26.4","220.1","1.1","2.0","190.0"
"Tony Pollard","TEN","RB29","236.2","1034.1","5.5","31.9","208.2","0.5","2.1","187.8"
"Kyle Pitts Sr.","ATL","TE6","0.0","0.0","0.0","77.2","845.2","4.4","0.1","187.8"
"George Kittle","SF","TE7","0.0","0.0","0.0","69.4","787.6","6.2","0.2","185.1"
"Parker Washington","JAC","WR35","5.0","13.6","0.1","62.6","863.2","5.7","0.4","184.4"
"Sam LaPorta","DET","TE8","0.0","0.0","0.0","70.4","813.9","5.5","0.2","184.1"
"Travis Kelce","KC","TE9","0.0","0.0","0.0","75.3","786.3","4.9","0.3","182.5"
"Brian Thomas Jr.","JAC","WR36","2.7","17.7","0.4","58.0","871.6","5.4","0.2","181.1"
"Rico Dowdle","PIT","RB30","200.0","870.1","5.8","31.7","222.3","1.0","1.0","180.3"
"Dallas Goedert","PHI","TE10","0.0","0.0","0.0","65.5","689.2","7.6","0.2","179.5"
"Wan'Dale Robinson","TEN","WR37","2.0","9.5","0.1","79.9","805.6","3.0","0.3","179.1"
"Jakobi Meyers","JAC","WR38","4.3","22.7","0.1","68.3","787.7","5.1","0.8","178.7"
"Carnell Tate","TEN","WR39","0.7","3.0","0.0","65.2","887.5","4.5","1.4","178.4"
"Tucker Kraft","GB","TE11","0.0","0.0","0.0","61.5","785.8","6.5","0.2","178.4"
"Michael Wilson","ARI","WR40","0.0","0.7","0.0","67.5","839.8","4.5","0.2","177.9"
"Jayden Reed","GB","WR41","12.0","86.9","0.1","63.1","757.7","4.8","0.4","176.3"
"J.K. Dobbins","DEN","RB31","219.9","1027.8","6.9","19.5","104.5","0.6","0.7","176.1"
"Chris Godwin Jr.","TB","WR42","0.3","0.3","0.0","67.8","773.9","5.2","0.3","175.7"
"Chuba Hubbard","CAR","RB32","178.2","728.9","5.0","36.4","256.4","1.8","0.9","173.6"
"Kenny Gainwell","TB","RB33","116.6","512.1","4.2","49.7","351.9","2.0","0.9","171.5"
"Quentin Johnston","LAC","WR43","1.7","5.9","0.0","53.6","757.3","6.9","0.7","169.9"
"Jordan Addison","MIN","WR44","2.7","37.1","0.4","55.2","758.4","5.4","0.2","168.9"
"Xavier Worthy","KC","WR45","15.5","99.4","0.9","55.2","723.3","4.2","0.2","167.7"
"Jake Ferguson","DAL","TE12","0.0","0.0","0.0","74.0","606.4","6.0","1.4","167.5"
"Mark Andrews","BAL","TE13","0.0","0.0","0.0","59.6","618.8","7.7","0.3","167.2"
"Stefon Diggs","WAS","WR46","0.3","0.7","0.0","67.0","747.1","4.2","0.2","166.2"
"Isaiah Likely","NYG","TE14","0.0","0.0","0.0","63.1","745.3","5.0","1.3","165.3"
"Khalil Shakir","BUF","WR47","1.1","5.5","0.0","69.7","726.3","3.9","0.8","164.9"
"Jonathon Brooks","CAR","RB34","188.3","777.9","5.1","29.6","225.2","1.1","1.5","164.1"
"Josh Downs","IND","WR48","1.4","4.2","0.0","68.8","704.9","4.2","0.8","163.7"
"Romeo Doubs","NE","WR49","0.0","0.0","0.0","57.1","744.6","5.4","0.3","163.7"
"Deebo Samuel Sr.","SF","WR50","29.1","112.2","1.1","56.3","635.9","4.4","0.4","162.9"
"RJ Harvey","DEN","RB35","107.6","406.3","4.0","45.9","341.6","3.2","0.7","162.1"
"Matthew Golden","GB","WR51","5.5","27.3","0.1","55.9","758.7","4.6","0.4","161.5"
"KC Concepcion","CLE","WR52","4.2","22.5","0.1","61.3","784.5","3.6","1.3","161.5"
"Rachaad White","WAS","RB36","137.0","605.6","5.4","35.8","247.9","1.6","0.8","161.3"
"Aaron Jones Sr.","MIN","RB37","149.9","638.8","3.1","40.7","300.7","1.7","1.0","161.2"
"De'Zhaun Stribling","SF","WR53","1.5","6.5","0.0","54.0","799.0","4.7","1.3","160.5"
"Dalton Kincaid","BUF","TE15","0.0","0.0","0.0","57.1","706.8","5.5","0.2","160.2"
"Jalen Coker","CAR","WR54","0.0","0.0","0.0","60.7","718.0","4.5","0.8","157.8"
"Rashid Shaheed","SEA","WR55","13.4","88.9","0.3","49.9","755.8","3.8","0.8","156.8"
"Kyle Monangai","CHI","RB38","191.3","818.0","5.2","22.9","195.0","0.4","0.7","156.2"
"Juwan Johnson","NO","TE16","0.0","0.0","0.0","64.7","730.3","3.3","1.3","154.7"
"Hunter Henry","NE","TE17","0.0","0.0","0.0","55.5","650.6","5.4","0.1","152.9"
"Denzel Boston","CLE","WR56","1.0","5.0","0.0","58.7","746.5","3.5","1.3","152.2"
"Brenton Strange","JAC","TE18","0.0","0.0","0.0","60.0","661.2","4.3","0.2","151.7"
"Makai Lemon","PHI","WR57","1.5","6.5","0.0","52.8","738.2","4.4","1.3","150.8"
"Dalton Schultz","HOU","TE19","0.0","0.0","0.0","65.8","627.1","3.4","0.2","148.4"
"Calvin Ridley","TEN","WR58","4.5","27.6","0.6","46.7","762.4","3.2","0.2","148.1"
"Jacory Croskey-Merritt","WAS","RB39","185.1","831.7","7.5","12.4","91.3","0.2","1.8","147.4"
