"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"Cooper Kupp","SEA","47.4","584.8","3.4","0.5","1.5","0.0","0.7","125.2"
"Kayshon Boutte","HOU","39.9","555.9","4.4","0.0","0.0","0.0","0.2","121.7"
"Tank Dell","HOU","42.2","527.1","3.2","10.2","48.8","0.1","0.2","119.3"
"Adonai Mitchell","NYJ","39.9","550.5","3.3","2.1","5.1","0.1","0.7","114.2"
"Travis Hunter","JAC","41.6","496.6","3.3","2.0","10.8","0.1","0.4","111.8"
"Malik Washington","MIA","45.4","411.9","2.4","13.5","80.8","0.7","0.8","111.6"
"Germie Bernard","PIT","41.2","508.2","2.9","2.1","10.8","0.0","0.7","109.2"
"Dontayvion Wicks","PHI","39.5","517.7","2.9","0.0","0.0","0.0","0.4","107.9"
"Jordyn Tyson","NO","37.8","529.1","2.9","1.0","3.5","0.0","0.7","106.8"
"Bub Means","NO","38.0","519.0","3.0","1.0","7.0","0.0","1.0","106.6"
"Jaylin Noel","HOU","39.8","450.0","3.2","5.1","17.6","0.1","0.2","105.9"
"Caleb Douglas","MIA","39.5","508.8","2.6","1.0","5.5","0.0","0.7","104.8"
"Antonio Williams","WAS","35.5","496.7","3.1","3.5","18.7","0.1","1.2","104.1"
"Omar Cooper Jr.","NYJ","38.4","458.0","3.1","2.1","12.5","0.1","0.7","103.1"
"Troy Franklin","DEN","36.5","402.7","3.9","3.0","10.8","0.0","0.6","100.3"
"Darius Slayton","NYG","35.8","526.2","2.0","1.6","8.6","0.0","0.7","100.1"
"Chris Bell","MIA","37.2","469.5","2.7","1.0","5.5","0.0","0.6","99.4"
"Tory Horton","SEA","30.3","401.5","4.7","0.5","3.0","0.0","0.6","97.5"
"Xavier Legette","CAR","35.9","417.5","2.6","2.1","10.8","0.1","0.4","93.8"
"Tyquan Thornton","KC","25.4","467.5","3.5","0.0","0.0","0.0","0.1","93.0"
"Jahan Dotson","ATL","35.2","443.3","2.3","0.0","0.0","0.0","0.3","92.5"
"Tre' Harris","LAC","34.5","410.5","2.5","0.0","0.0","0.0","0.4","89.8"
"Ryan Flournoy","DAL","33.8","383.1","2.7","2.2","12.5","0.1","0.4","89.2"
"Isaac TeSlaa","DET","25.4","352.4","4.1","0.0","0.0","0.0","0.1","85.1"
"Christian Kirk","SF","32.4","381.1","2.4","0.0","0.0","0.0","0.0","84.9"
"Jalen Tolbert","MIA","33.2","411.1","1.7","0.0","0.0","0.0","0.3","83.6"
"Malik Benson","LV","33.2","397.7","1.9","1.0","4.0","0.0","0.6","83.6"
"Ted Hurst III","TB","28.9","389.9","2.6","1.0","6.5","0.0","0.6","82.7"
"Xavier Hutchinson","HOU","30.9","369.4","2.1","2.1","14.2","0.0","0.1","81.6"
"DeMario Douglas","NE","30.2","365.3","2.0","4.1","21.4","0.2","0.4","81.2"
"Hollywood Brown","PHI","28.2","349.9","3.0","0.0","0.0","0.0","0.1","81.1"
"Zachariah Branch","ATL","31.4","381.7","1.9","0.0","0.0","0.0","0.3","80.3"
"Andrei Iosivas","CIN","27.8","352.4","2.6","2.5","11.0","0.0","0.1","79.5"
"Elic Ayomanor","TEN","25.4","342.8","3.3","0.0","0.0","0.0","0.0","79.5"
"Chimere Dike","TEN","27.8","271.6","3.4","10.1","33.7","0.3","0.6","79.2"
"Keon Coleman","BUF","24.4","337.7","2.8","0.0","0.0","0.0","0.2","74.6"
"Pat Bryant","DEN","28.4","320.5","2.1","0.0","0.0","0.0","0.3","72.6"
"Darnell Mooney","NYG","24.1","349.3","1.9","2.2","11.9","0.1","0.2","71.5"
"Joshua Palmer","BUF","25.9","342.2","1.6","0.0","0.0","0.0","0.1","69.7"
"Malachi Fields","NYG","26.3","321.3","1.8","0.0","0.0","0.0","0.3","68.4"
"Marvin Mims Jr.","DEN","24.1","273.1","1.6","8.2","45.2","0.3","0.4","66.8"
"Jack Bech","LV","27.7","315.0","1.2","0.0","0.0","0.0","0.3","65.8"
"Zavion Thomas","CHI","23.2","304.8","2.1","1.5","6.5","0.0","1.1","64.9"
"Ashton Dulin","IND","17.5","338.3","1.3","5.1","46.1","0.1","0.1","64.1"
"KaVontae Turpin","DAL","18.1","229.5","1.7","17.8","103.2","0.4","0.4","63.5"
"Savion Williams","GB","20.5","230.8","1.7","9.0","46.9","0.3","0.3","59.8"
"Jahdae Walker","CHI","17.6","232.8","2.7","0.5","3.5","0.0","0.0","57.2"
